symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-04-16 00:00:00+00:00,175.82,176.19,174.83,175.03,21578420,41.9632141632,42.0515225994,41.7269294287,41.7746637185,86313680,0.0,1.0
AAPL,2018-04-17 00:00:00+00:00,178.24,178.94,176.41,176.49,26605442,42.5407990698,42.7078690841,42.1040303182,42.1231240341,106421768,0.0,1.0
AAPL,2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538,42.4453304902,42.6792285102,42.2162058992,42.4381703468,83018152,0.0,1.0
AAPL,2018-04-19 00:00:00+00:00,172.8,175.39,172.66,173.76,34808800,41.2424263873,41.8605854402,41.2090123844,41.4715509783,139235200,0.0,1.0
AAPL,2018-04-20 00:00:00+00:00,165.72,171.22,165.43,170.6,65491140,39.5526325283,40.8653254978,39.4834178081,40.7173491995,261964560,0.0,1.0
AAPL,2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.83,36515477,39.4380702328,39.8390382671,39.1635980665,39.8175578367,146061908,0.0,1.0
AAPL,2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,38.8891259001,39.6982221122,38.4786110078,39.5406989559,134768068,0.0,1.0
AAPL,2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,39.0585826289,39.4810310936,38.7626300322,38.8127510364,113528336,0.0,1.0
AAPL,2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.1946253548,39.5550192428,38.9917546232,39.1707582099,111852056,0.0,1.0
AAPL,2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164.0,35655839,38.7411496017,39.2208792142,38.3377948529,39.1421176361,142623356,0.0,1.0
AAPL,2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.4428436618,39.9201865598,38.6265873062,38.6958020264,169709696,0.0,1.0
AAPL,2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.359342026,40.3832091709,39.4452303763,39.7173158282,214277504,0.0,1.0
AAPL,2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.14221775,42.4238500598,41.4810978363,41.8223980083,266157484,0.0,1.0
AAPL,2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.2185926137,42.3641821976,41.6338475636,41.9775344502,136272720,0.0,1.0
AAPL,2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,43.8749724697,43.9752144783,42.5240920684,42.5431857843,224805268,0.0,1.0
AAPL,2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.1924054969,44.7914708339,44.0945502028,44.1971789259,169805692,0.0,1.0
AAPL,2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.4048230865,44.4453972329,43.8367850379,44.1518313506,113611108,0.0,1.0
AAPL,2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,44.7174826847,44.7270295427,44.2067257838,44.524158811,92844964,0.0,1.0
AAPL,2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.357122168,45.4358837462,44.7866974049,44.8081778353,111957156,0.0,1.0
AAPL,2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.1852787248,45.5374838243,44.9121400761,45.4009145,104848884,0.73,1.0
AAPL,2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,45.0798567902,45.4104983122,45.0103741515,45.2859087532,83115088,0.0,1.0
AAPL,2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,44.6701488172,44.8210938599,44.3490911074,44.7516112212,94780636,0.0,1.0
AAPL,2018-05-16 00:00:00+00:00,188.18,188.46,186.0,186.07,19183064,45.0870446494,45.154131335,44.5647268827,44.5814985541,76732256,0.0,1.0
AAPL,2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188.0,17294029,44.8019262354,45.2619492226,44.6509811928,45.0439174943,69176116,0.0,1.0
AAPL,2018-05-18 00:00:00+00:00,186.31,187.81,186.13,187.19,18297728,44.6390014275,44.9983943862,44.5958742724,44.8498452966,73190912,0.0,1.0
AAPL,2018-05-21 00:00:00+00:00,187.63,189.27,186.91,188.0,18400787,44.9552672312,45.3482035327,44.782758611,45.0439174943,73603148,0.0,1.0
AAPL,2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.38,15240704,44.8426574374,45.2547613634,44.7516112212,45.1349637105,60962816,0.0,1.0
AAPL,2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415,45.1301718044,45.1637151472,44.5072240093,44.6485852397,80233660,0.0,1.0
AAPL,2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975,45.0798567902,45.2451775512,44.6150418969,45.2284058798,92935900,0.0,1.0
AAPL,2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963,45.1828827717,45.4392497489,44.9600591373,45.0990244147,69843852,0.0,1.0
AAPL,2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075,45.0199579637,45.2236139737,44.7731747987,44.948079372,90056300,0.0,1.0
AAPL,2018-05-30 00:00:00+00:00,187.5,188.0,186.78,187.72,18690547,44.9241198414,45.0439174943,44.7516112212,44.9768308087,74762188,0.0,1.0
AAPL,2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793,44.7731747987,45.0990244147,44.5982702255,44.8570331558,109931172,0.0,1.0
AAPL,2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.99,23442510,45.5806109794,45.5854028855,44.9840186679,45.0415215413,93770040,0.0,1.0
AAPL,2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.64,26266174,45.9615675156,46.3425240519,45.8465617688,45.9160444075,105064696,0.0,1.0
AAPL,2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.07,21565963,46.3161685682,46.4671136109,46.0885530277,46.2586656948,86263852,0.0,1.0
